,movie_id,title,attributes
10,0131857,Baseketball,"Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.Comedy, SportTrey Parker, Matt Stone, Dian Bachar, Yasmine Bleeth, Jenny McCarthy, Ernest Borgnine, Robert Vaughn, Trevor Einhorn, Bob Costas, Al Michaels, Robert Stack, Reggie Jackson, Dan Patrick, Kenny Mayne, Tim McCarverDavid Zucker"
11,0132347,Mystery Men,"A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.Action, Comedy, FantasyHank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell, Paul Reubens, Ben Stiller, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras Michel, Claire Forlani, Tom WaitsKinka Usher"
12,0132477,Cielo d'ottobre,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.Biography, Drama, FamilyJake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen, William Lee Scott, Chad Lindberg, Natalie Canerday, Scott Thomas, Randy Stripling, Chris Ellis, Elya Baskin, Courtney Cole-Fendley, David Dwyer, Terry Loughlin, Kaili HollisterJoe Johnston"
13,0132512,A prima vista,"A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.Drama, RomanceVal Kilmer, Mira Sorvino, Kelly McGillis, Steven Weber, Bruce Davison, Nathan Lane, Ken Howard, Laura Kirk, Margo Winkler, Diana Krall, Brett Robbins, Willie C. Carpenter, Charles Winkler, Drena De Niro, Kelly ChapmanIrwin Winkler"
14,0133046,Killing Mrs. Tingle,"The story of a girl who is willing to do anything to become Valedictorian, even if it means murdering the teacher that stands in her way.Comedy, ThrillerHelen Mirren, Katie Holmes, Jeffrey Tambor, Barry Watson, Marisa Coughlan, Liz Stauber, Michael McKean, Molly Ringwald, Vivica A. Fox, John Patrick White, Robert Gant, Harvey SilverKevin Williamson"
15,0133093,Matrix,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.Action, Sci-FiKeanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden GrayLana Wachowski, Lilly Wachowski"
16,0133152,Planet of the Apes - Il pianeta delle scimmie,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.Action, Adventure, Sci-FiMark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, Estella Warren, Cary-Hiroyuki Tagawa, David Warner, Kris Kristofferson, Erick Avari, Lucas Elliot Eberl, Evan Parke, Glenn Shadix, Freda Foh Shen, Chris EllisTim Burton"
17,0133240,Il pianeta del tesoro,"A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.Animation, Adventure, FamilyRoscoe Lee Browne, Corey Burton, Dane A. Davis, Joseph Gordon-Levitt, Tony Jay, Austin Majors, Patrick McGoohan, Michael McShane, Laurie Metcalf, Brian Murray, David Hyde Pierce, Martin Short, Emma Thompson, Michael Wincott, Jack AngelRon Clements, John Musker"
18,0133751,The Faculty,"Students suspect that their teachers are aliens after bizarre occurrences.Horror, Sci-FiJordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett, Shawn Hatosy, Salma Hayek, Famke Janssen, Piper Laurie, Christopher McDonald, Bebe Neuwirth, Robert Patrick, Usher Raymond, Jon Stewart, Daniel von Bargen, Elijah WoodRobert Rodriguez"
19,0134084,Scream 3,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.Horror, MysteryLiev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford, Neve Campbell, Courteney Cox, Julie Janney, Richmond Arquette, Patrick Dempsey, Lynn McRee, Nancy O'Dell, Ken Taylor, Scott Foley, Roger Corman, Lance HenriksenWes Craven"
20,0134273,8mm - Delitto a luci rosse,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.Crime, Drama, MysteryNicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare, Anthony Heald, Chris Bauer, Catherine Keener, Myra Carter, Amy Morton, Jenny Powell, Anne Gee Byrd, Jack Betts, Luis Oropeza, Rachel Singer, Don CreechJoel Schumacher"
21,0134618,"Mistery, Alaska","This comedy is about the residents of a small town who get over-excited when their hockey team gets chosen to host a televised eventComedy, Drama, SportRussell Crowe, Hank Azaria, Mary McCormack, Burt Reynolds, Colm Meaney, Lolita Davidovich, Maury Chaykin, Ron Eldard, Ryan Northcott, Michael Buie, Kevin Durand, Scott Grimes, Jason Gray-Stanford, Brent Stait, Leroy PeltierJay Roach"
22,0134630,Duets,"A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines.Comedy, Drama, MusicLochlyn Munro, Carol Alexander, Michael J Rogers, Huey Lewis, Amanda Kravat, Paul Giamatti, Ian Robison, Roger Haskett, John Payne, Scott Speedman, Tom Bougers, Marian Seldes, Angie Phillips, Steve Oatway, Erika von TagenBruce Paltrow"
23,0134983,Supernova,"A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.Horror, Sci-Fi, ThrillerJames Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips, Peter Facinelli, Robin Tunney, Wilson Cruz, Eddy Rice Jr., Knox White, Kerrigan Mahan, Vanessa MarshallWalter Hill"
24,0137338,200 Cigarettes,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.Comedy, Drama, RomanceBen Affleck, Casey Affleck, Jennifer Albano, Jenni Blong, Morgan Brown, Caleb Carr, Dave Chappelle, Elvis Costello, Guillermo Díaz, Angela Featherstone, Patrick Frederic, Janeane Garofalo, Gaby Hoffmann, Kate Hudson, David JohansenRisa Bramon Garcia"
25,0137363,Arlington Road - L'inganno,"A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly.Crime, Drama, ThrillerJeff Bridges, Tim Robbins, Joan Cusack, Hope Davis, Robert Gossett, Mason Gamble, Spencer Treat Clark, Stanley Anderson, Viviane Vives, Lee Stringer, Darryl Cox, Loyd Catlett, Sid Hillman, Auden Thornton, Mary Ashleigh GreenMark Pellington"
26,0137494,Entrapment,"An insurance agent is sent by her employer to track down and help capture an art thief.Action, Crime, RomanceSean Connery, Catherine Zeta-Jones, Ving Rhames, Will Patton, Maury Chaykin, Kevin McNally, Terry O'Neill, Madhav Sharma, David Yip, Tim Potter, Eric Meyers, Aaron Swartz, William Marsh, Tony Xu, Rolf SaxonJon Amiel"
27,0137523,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.DramaEdward Norton, Brad Pitt, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Helena Bonham Carter, Christina Cabot, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra BuzzingtonDavid Fincher"
28,0138097,Shakespeare in Love,"The world's greatest ever playwright,Comedy, Drama, HistoryGeoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan, Joseph Fiennes, Steven Beard, Antony Sher, Patrick Barlow, Martin Clunes, Sandra Reinton, Simon Callow, Judi Dench, Bridget McConnell, Georgie Glen, Nicholas BoultonJohn Madden"
29,0138304,The Astronaut's Wife - La moglie dell'astronauta,"After an explosion in space and subsequent two-minute radio-out period, two astronauts return home to their wives. Slightly it's revealed that they're not the same as they were.Drama, Sci-Fi, ThrillerJohnny Depp, Charlize Theron, Joe Morton, Clea DuVall, Donna Murphy, Nick Cassavetes, Samantha Eggar, Gary Grubbs, Blair Brown, Tom Noonan, Tom O'Brien, Lucy Lin, Michael Crider, Jacob Stein, Timothy WickerRand Ravich"
30,0138510,Giovani diavoli,"A teenage slacker's right hand becomes possessed with murderous intent.Comedy, Fantasy, HorrorDevon Sawa, Seth Green, Elden Henson, Jessica Alba, Vivica A. Fox, Christopher Hart, Jack Noseworthy, Katie Wright, Sean Whalen, Nicholas Sadler, Fred Willard, Connie Ray, Steve Van Wormer, Kelly Monaco, Timothy StackRodman Flender"
31,0138749,La strada per El Dorado,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.Animation, Adventure, ComedyKevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elijah Chiang, Cyrus Shaki-Khan, Elton JohnBibo Bergeron, Don Paul"
32,0138987,20 Dates - L'amore in 20 incontri,"A documentary type film about the dates Myles has gone on as he tries to find out how to find love in the future.Biography, Comedy, RomanceMyles Berkowitz, Elisabeth Wagner, Richard Arlook, Tia Carrere, Robert McKee, Elie Samaha, Tom Ardavany, Emily Arlook, Rachel Arlook, Barbara Cameron, Signy Coleman, Letitia Fox, Greg Kita, Michelle Madden, Stephanie MagidMyles Berkowitz"
33,0139239,Go - Una notte da dimenticare,"The aftermath of a drug deal as told from three different points of view.Comedy, CrimeKatie Holmes, Sarah Polley, Suzanne Krull, Desmond Askew, Nathan Bexton, Robert Peters, Scott Wolf, Jay Mohr, Timothy Olyphant, Jodi Bianca Wise, William Fichtner, Rita Bland, Tony Denman, Scott Hass, Natasha MelnickDoug Liman"
34,0139414,Lake Placid - Il terrore corre sul lago,"Three people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine.Action, Comedy, HorrorBill Pullman, Bridget Fonda, Oliver Platt, Brendan Gleeson, Betty White, David Lewis, Tim Dixon, Natassia Malthe, Mariska Hargitay, Meredith Salenger, Jed Rees, Richard Leacock, Jake T. Roberts, Warren Takeuchi, Ty OlssonSteve Miner"
35,0139462,Le parole che non ti ho detto,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.Drama, RomanceKevin Costner, Robin Wright, Paul Newman, John Savage, Illeana Douglas, Robbie Coltrane, Jesse James, Bethel Leslie, Tom Aldredge, Viveka Davis, Raphael Sbarge, Richard Hamilton, Rosemary Murphy, Steven Eckholdt, Susan BrightbillLuis Mandoki"
36,0139668,Fino a prova contraria,"Can an over-the-hill journalist uncover the evidence that can prove a death row inmate's innocence just hours before his execution?Crime, Drama, MysteryClint Eastwood, Isaiah Washington, LisaGay Hamilton, James Woods, Denis Leary, Bernard Hill, Diane Venora, Michael McKean, Michael Jeter, Mary McCormack, Hattie Winston, Penny Bae Bridges, Francesca Eastwood, John Finn, Laila RobinsClint Eastwood"
37,0139699,Varsity Blues,"A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.Comedy, Drama, RomanceJames Van Der Beek, Jon Voight, Paul Walker, Ron Lester, Scott Caan, Richard Lineback, Tiffany C. Love, Amy Smart, Eliel Swinton, Thomas F. Duffy, Jill Parker-Jones, Joe Pichler, Mark Walters, Brady Coleman, James N. HarrellBrian Robbins"
38,0139809,Il tredicesimo piano,"A computer scientist running a virtual reality simulation of 1937 becomes the primary suspect when his colleague and mentor is murdered.Mystery, Sci-Fi, ThrillerCraig Bierko, Armin Mueller-Stahl, Gretchen Mol, Vincent D'Onofrio, Dennis Haysbert, Steven Schub, Jeremy Roberts, Rif Hutton, Leon Rippy, Janet MacLachlan, Brad William Henke, Burt Bulos, Venessia Valentino, Howard S. Miller, Tia TexadaJosef Rusnak"
39,0140397,Mumford,"In the small town of Mumford, a psychologist of the same name moves in and quickly becomes very popular, despite a questionable past.Comedy, DramaLoren Dean, Hope Davis, Jason Lee, Alfre Woodard, Mary McDonnell, Pruitt Taylor Vince, Zooey Deschanel, Martin Short, David Paymer, Jane Adams, Dana Ivey, Kevin Tighe, Ted Danson, Jason Ritter, Elisabeth MossLawrence Kasdan"
40,0141098,Piovuta dal cielo,"A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.Comedy, RomanceSandra Bullock, Ben Affleck, Maura Tierney, Steve Zahn, Blythe Danner, Ronny Cox, Michael Fairman, Janet Carroll, Richard Schiff, David Strickland, Meredith Scott Lynn, George Wallace, Steve Hytner, John Doe, Jack KehlerBronwen Hughes"
41,0141399,Isn't She Great,"An unsuccessful over-the-top actress becomes a successful over-the-top author in this biography of Jacqueline Susann, the famed writer of ""Valley of the Dolls"" and other trashy novels. ...Biography, Comedy, DramaBette Midler, Nathan Lane, Stockard Channing, David Hyde Pierce, John Cleese, John Larroquette, Amanda Peet, Terrence Labrosse, Jeffrey Ross, Christopher McDonald, Paul Benedict, Dina Spybey-Waters, Pauline Little, William Hill, Mal Z. LawrenceAndrew Bergman"
42,0141907,Amori in città... e tradimenti in campagna,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps, some with his wife Ellie, others with longtime friends ...Comedy, RomanceWarren Beatty, Nastassja Kinski, Diane Keaton, Goldie Hawn, Garry Shandling, Vincent Lascoumes, William Hootkins, Terri Hoyos, Josh Hartnett, Tricia Vessey, Marc Casabani, Del Zamora, Katharine Towne, Tony Abatemarco, Eve CrawfordPeter Chelsom"
43,0142201,Pazzi in Alabama,"An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.Comedy, Crime, DramaMelanie Griffith, David Morse, Lucas Black, Cathy Moriarty, Meat Loaf, Rod Steiger, Richard Schiff, John Beasley, Robert Wagner, Noah Emmerich, Sandra Seacat, Paul Ben-Victor, Brad Beyer, Fannie Flagg, Elizabeth PerkinsAntonio Banderas"
44,0143746,Molly,"A bachelor becomes the unwilling guardian of his autistic, intellectually disabled sister; then an experimental treatment works a dramatic change in her brain and his attitude.Comedy, Drama, RomanceElisabeth Shue, Aaron Eckhart, Jill Hennessy, Thomas Jane, D.W. Moffett, Elizabeth Mitchell, Robert Harper, Elaine Hendrix, Michael Paul Chan, Lucy Liu, Jon Pennell, Sarah Wynter, Lauren Richter, Tanner Lee Prairie, Nicholas PryorJohn Duigan"
45,0144120,La sposa di Chucky,"Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.Comedy, HorrorJennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile, Alexis Arquette, Gordon Michael Woolvett, John Ritter, Lawrence Dane, Michael Louis Johnson, James Gallanders, Janet Kidder, Vince Corazza, Kathy Najimy, Park Bench, Emily WeedonRonny Yu"
46,0144168,Le ragazze della Casa Bianca,"Two girls wander away from a White House tour and meet President Nixon.ComedyKirsten Dunst, Michelle Williams, Dan Hedaya, Will Ferrell, Bruce McCulloch, Teri Garr, Dave Foley, Jim Breuer, Ana Gasteyer, Harry Shearer, Saul Rubinek, Devon Gummersall, Ted McGinley, Ryan Reynolds, G.D. SpradlinAndrew Fleming"
47,0144178,Una passione spezzata,"A young woman in rural 1950s England becomes involved in a scandalous love triangle that will inevitably leave someone behind to suffer the consequences.Romance, DramaRupert Graves, Samantha Morton, Nicholas Woodeson, Lee Ross, Felix Billson, Lauren Richardson, Frank Finlay, Vernon Dobtcheff, Miriam Margolyes, Holly Aird, Frederick Stuart, Richie Tongé, Harry Selby, Juan Thomas, Emma CunniffeEric Styles"
48,0144214,La figlia del generale,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.Crime, Drama, MysteryJohn Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton, Leslie Stefanson, Daniel von Bargen, Clarence Williams III, James Woods, Peter Weireter, Mark Boone Junior, John Beasley, Boyd Kestner, Brad Beyer, John Benjamin Hickey, Rick DialSimon West"
49,0144528,La famiglia del professore matto,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.Comedy, Romance, Sci-FiEddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott, Duffy Taylor, Earl Boen, Nikki Cox, Freda Payne, Sylvester JenkinsPeter Segal"
50,0144640,Appuntamento a tre,"A rich businessman's assumption that his new colleague is gay leads him to ask the man to keep an eye on his mistress. However, the man is not gay, and begins to fall for the woman himself.Comedy, RomanceMatthew Perry, Neve Campbell, Dylan McDermott, Oliver Platt, Cylk Cozart, John C. McGinley, Bob Balaban, Deborah Rush, Kelly Rowan, Rick Gomez, Patrick Van Horn, David Ramsey, Kent Staines, Ho Chow, Michael ProudfootDamon Santostefano"
51,0144814,Carrie 2: La furia,"A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.Horror, Sci-Fi, ThrillerEmily Bergl, Jason London, Dylan Bruno, J. Smith-Cameron, Amy Irving, Zachery Ty Bryan, John Doe, Gordon Clapp, Rachel Blanchard, Charlotte Ayanna, Justin Urich, Mena Suvari, Eli Craig, Eddie Kaye Thomas, Clint JordanKatt Shea, Robert Mandel"
52,0145487,Spider-Man,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.Action, Adventure, Sci-FiTobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. DoddsSam Raimi"
53,0145653,Le ceneri di Angela,"Based on the best-selling autobiography by Irish expatriate Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the ...DramaEmily Watson, Robert Carlyle, Joe Breen, Ciaran Owens, Michael Legge, Ronnie Masterson, Pauline McLynn, Liam Carney, Eanna MacLiam, Andrew Bennett, Shane Murray-Corcoran, Devon Murray, Peter Halpin, Aaron Geraghty, Sean Carney DalyAlan Parker"
54,0145681,Il collezionista di ossa,"A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.Crime, Drama, MysteryDenzel Washington, Angelina Jolie, Queen Latifah, Michael Rooker, Michael McGlone, Luis Guzmán, Leland Orser, John Benjamin Hickey, Bobby Cannavale, Ed O'Neill, Richard Zeman, Olivia Birkelund, Gary Swanson, James Bulleit, Frank FontainePhillip Noyce"
55,0146316,Lara Croft: Tomb Raider,"Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.Action, Adventure, FantasyAngelina Jolie, Jon Voight, Iain Glen, Noah Taylor, Daniel Craig, Richard Johnson, Chris Barrie, Julian Rhind-Tutt, Leslie Phillips, Robert Phillips, Rachel Appleton, Henry Wyndham, David Cheung, David Tse, Ozzie YueSimon West"
56,0146336,Urban Legend,"A college student suspects a series of bizarre deaths are connected to certain urban legends.Horror, Mystery, ThrillerJared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum, Loretta Devine, Joshua Jackson, Tara Reid, John Neville, Julian Richings, Robert Englund, Danielle Harris, Natasha Gregson Wagner, Gord Martineau, Kay Hawtrey, Angela VintJamie Blanks"
57,0146838,Ogni maledetta domenica,"A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.Drama, SportAl Pacino, Cameron Diaz, Dennis Quaid, James Woods, Jamie Foxx, LL Cool J, Matthew Modine, Jim Brown, Lawrence Taylor, Bill Bellamy, Andrew Bryniarski, Lela Rochon, Lauren Holly, Ann-Margret, Aaron EckhartOliver Stone"
58,0146984,La leggenda di Bagger Vance,"A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.Drama, Fantasy, SportWill Smith, Matt Damon, Charlize Theron, Bruce McGill, Joel Gretsch, J. Michael Moncrief, Peter Gerety, Lane Smith, Michael O'Neill, Thomas Jay Ryan, Trip Hamilton, Dermot Crowley, Harve Presnell, Danny Nelson, Bob PennyRobert Redford"
59,0149367,Per amore dei soldi,"Old bank robber Henry, paralyzed from a stroke, is moved from a prison hospital to a retirement home, where Carol is a nurse. She doesn't believe he's paralyzed and sees him as a way out of her boring life.Drama, Comedy, CrimePaul Newman, Linda Fiorentino, Dermot Mulroney, Susan Barnes, Anne Pitoniak, Bruce MacVittie, Irma St. Paule, Michel Perron, Dorothy Gordon, Rita Tuckett, Diane Amos, Dawn Ford, T.J. Kenneally, Rod McLachlan, Bill CordayMarek Kanievska"
60,0149691,La mia adorabile nemica,"A mother and daughter search for success in Beverly Hills.Comedy, DramaSusan Sarandon, Natalie Portman, Hart Bochner, Eileen Ryan, Ray Baker, John Diehl, Shawn Hatosy, Bonnie Bedelia, Faran Tahir, Shishir Kurup, Samantha Goldstein, Scott Burkholder, Yvonna Kopacz Wright, Eva Amurri Martino, Kieren van den BlinkWayne Wang"
61,0150377,Colpevole d'innocenza,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.Crime, Drama, MysteryTommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau, Bruce Greenwood, John Maclaren, Ed Evanko, Annabeth Gish, Bruce Campbell, Brennan Elliott, Angela Schneider, Michael Gaston, Gillian Barber, Tom McBeath, David JacoxBruce Beresford"
62,0150915,Hilary and Jackie,"The tragic story of world renowned classic cellist Jacqueline du Pré, as told from the point of view of her sister, flautist Hilary du Pré-Finzi.Biography, Drama, MusicEmily Watson, Rachel Griffiths, James Frain, David Morrissey, Charles Dance, Celia Imrie, Rupert Penry-Jones, Bill Paterson, Auriol Evans, Keylee Jade Flanders, Grace Chatto, Nyree Dawn Porter, Maggie McCarthy, Vernon Dobtcheff, Anthony SmeeAnand Tucker"
63,0151738,Mai stata baciata,"A newspaper reporter enrolls in high school as part of research for a story.Comedy, Drama, RomanceDrew Barrymore, David Arquette, Michael Vartan, Molly Shannon, John C. Reilly, Garry Marshall, Sean Whalen, Cress Williams, Octavia Spencer, Sarah DeVincentis, Allen Covert, Armand Reiser, David Doty, Derek Morgan, Kathleen MarshallRaja Gosnell"
64,0151804,Impiegati... male!,"Three company workers who hate their jobs decide to rebel against their greedy boss.ComedyRon Livingston, Jennifer Aniston, David Herman, Ajay Naidu, Diedrich Bader, Stephen Root, Gary Cole, Richard Riehle, Alexandra Wentworth, Joe Bays, John C. McGinley, Paul Willson, Kinna McInroe, Todd Duffey, Greg PittsMike Judge"
65,0154506,Following,"A young writer who follows strangers for material meets a thief who takes him under his wing.Crime, Mystery, ThrillerJeremy Theobald, Alex Haw, Lucy Russell, John Nolan, Dick Bradsell, Gillian El-Kadi, Jennifer Angel, Nicolas Carlotti, Darren Ormandy, Guy Greenway, Tassos Stevens, Tristan Martin, Rebecca James, Paul Mason, David BovillChristopher Nolan"
66,0155197,Speedway Junky,"A naive drifter runs away from his army father in hopes of making it on the car racing circuit. In Las Vegas, he meets a young scam artist, who develops a crush on him. He is then ...Crime, Drama, RomanceRichard Balin, Jaime Bergman, Jesse Bradford, Jordan Brower, Susan Gayle Clay, Tiffani Thiessen, Lucy Dawn, Kaleb Dixon, Shevonne Durkin, Jason Ellsworth, Bill Farmer, Adrienne Frantz, Warren G, Erik Alexander Gavica, Stephanie GrandaNickolas Perry"
